SSR, lamb, beta, k, delta, p, c, K
1.01E+00,8.63E-02,1.23E-06,1.61E+02,2.33E+00,1.00E+00,1.84E+00,1.53E+07
3.61E+00,1.01E-01,5.68E-07,3.06E+02,2.98E+00,2.54E+00,2.57E+00,4.12E+07
1.87E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.05E+00,9.41E-02,2.15E-06,2.17E+01,3.85E+00,1.00E+00,2.16E+00,1.09E+07
1.45E+00,6.51E-02,8.95E-07,9.99E+01,2.75E+00,2.78E+00,4.43E+00,1.65E+07
2.95E+00,8.74E-02,5.10E-06,1.08E+02,2.74E+00,3.33E-01,2.30E+00,8.52E+06
1.51E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.84E+00,2.13E-01,2.76E-06,1.49E+02,3.84E+00,3.40E-01,1.69E+00,4.25E+07
2.63E+00,2.62E-03,2.88E-06,1.53E+02,3.27E+00,8.89E-01,3.99E+00,9.37E+06
2.00E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
4.37E+00,1.53E-03,5.12E-06,1.31E+02,2.75E+00,4.43E-01,3.58E+00,3.31E+07
1.09E+03,3.73E-51,5.74E-36,2.07E+41,1.25E+03,2.54E+26,8.70E+08,2.16E+32
1.58E+04,1.31E-36,2.90E-05,3.03E+07,1.55E-02,7.20E+06,1.25E+31,1.08E+26
6.70E+00,1.57E-02,3.43E-05,1.25E+01,2.16E+00,2.68E-02,1.39E+00,1.50E+07
3.49E+00,1.95E-01,5.44E-06,5.25E+01,2.63E+00,1.69E-01,1.90E+00,2.51E+07
2.14E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
4.29E+00,1.45E-01,1.42E-06,4.55E+02,3.20E+00,7.46E-01,1.53E+00,2.70E+07
5.49E+01,3.46E+10,1.05E-06,7.03E-02,9.83E-16,1.76E+09,1.77E-20,2.05E+12
6.35E+04,1.32E+00,6.96E-08,1.49E+12,1.97E+09,1.73E-06,2.71E+13,1.05E+06
1.60E+00,4.36E-02,2.14E-06,3.61E+00,1.99E+01,6.84E+00,3.11E+00,7.51E+06
1.41E+00,1.67E-01,2.68E-06,5.12E+01,1.95E+00,4.34E-01,2.63E+00,1.88E+07
1.48E+04,3.35E-17,3.63E-07,3.62E+08,8.05E+04,3.29E+02,2.23E+11,1.12E+21
1.73E+00,1.67E-02,1.05E-06,5.60E+01,7.18E+01,2.84E+01,2.33E+00,1.03E+07
3.03E+00,9.42E-02,3.47E-06,2.00E+02,1.81E+00,6.85E-01,4.96E+00,1.00E+07
1.60E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
7.34E+02,1.73E+00,2.96E-05,4.49E+02,4.35E+02,1.13E-03,1.19E+03,1.78E+06
2.81E+00,3.13E-01,4.97E-06,4.45E+01,1.44E+00,1.26E-01,2.19E+00,3.13E+07
1.82E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.97E+00,2.62E-01,1.40E-06,2.07E+02,1.75E+00,6.83E-01,2.17E+00,2.24E+07
2.10E+00,1.50E-01,3.87E-06,5.59E+02,3.70E+00,4.76E-01,2.07E+00,1.47E+07
1.46E+02,1.92E-10,2.14E-38,5.59E+32,8.87E+01,4.85E+44,2.68E+11,4.54E+01
1.56E+00,1.60E-02,2.60E-06,5.14E+01,3.33E+01,5.44E+00,2.25E+00,5.09E+06
1.97E+00,1.41E-01,7.30E-07,6.16E+01,2.58E+00,3.43E+00,4.37E+00,1.45E+07
5.81E-01,1.10E-01,7.10E-07,1.31E+02,9.23E+00,3.69E+00,1.78E+00,7.72E+07
1.70E+00,2.10E-02,2.70E-06,1.49E+02,3.44E+00,9.51E-01,4.00E+00,1.21E+07
1.86E+00,2.64E-03,2.39E-06,1.55E+02,2.31E+01,3.43E+00,1.75E+00,5.06E+06
2.09E+03,1.60E-23,1.14E+01,7.27E-02,3.02E+12,2.50E+18,7.06E+14,1.90E-03
9.75E+03,5.25E-14,2.37E-01,4.03E+01,1.01E+02,8.90E+04,3.92E+22,2.37E+10
1.56E+00,2.86E-02,4.57E-07,6.56E+01,6.88E+00,1.69E+01,7.04E+00,7.62E+06
6.11E+03,5.79E-28,1.40E+06,3.68E-21,2.75E-09,1.95E+08,2.43E-12,5.78E-11
1.91E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
1.66E+01,7.17E-01,3.37E-04,7.84E-01,2.00E+00,7.61E-03,8.73E-01,4.52E+06
2.82E+00,1.05E-01,2.03E-06,1.18E+02,2.97E+00,8.88E-01,2.12E+00,1.11E+07
3.87E+02,7.53E+01,1.89E-41,2.10E+35,1.66E+05,2.01E+42,5.33E+07,4.30E+08
1.17E+00,1.27E-01,4.97E-06,2.13E+02,5.69E+00,4.73E-01,1.80E+00,1.40E+07
4.78E+03,5.11E+00,3.51E-10,3.52E+08,7.89E+10,8.70E-09,1.15E+13,3.20E+03
4.16E+00,3.58E-01,3.98E-06,1.75E+02,3.73E+00,1.58E-01,1.46E+00,6.18E+07
3.28E+00,8.45E-02,4.75E-06,1.42E+02,3.18E+00,4.01E-01,2.43E+00,9.50E+06
2.21E+00,4.31E-02,1.28E-06,1.51E+02,2.29E+00,1.06E+00,2.46E+00,3.51E+07
1.68E+00,4.05E-02,1.66E-06,1.57E+01,4.63E+00,1.82E+00,2.94E+00,1.02E+07
5.57E+00,1.13E-02,7.41E-06,3.94E+02,2.37E+00,7.52E-01,1.27E+01,5.47E+06
