SSR, lamb, beta, k, delta, p, c, K
7.489794282275685777e-01,1.104797144916506157e-01,3.824261792314108551e-05,1.898205858193222406e+00,5.366613571934965760e+18,1.519844411192857088e+18,3.534857252173048181e+01,5.262740316457303241e+06
1.152881260756151605e+00,1.223551262297527253e-01,3.010256315899346882e-05,2.789011841403032932e+00,3.275320160930375168e+18,2.761114012054240256e+18,9.993042305790247326e+01,5.058029202258440666e+06
1.033838620427507404e+00,1.735691802983118648e-01,2.676627171736826501e-05,1.658286427213248926e+00,2.950209519641376256e+18,3.069942145057033728e+18,9.516855948726590952e+01,1.383864741965973750e+07
1.091803277127317173e+00,1.942924109478252337e-01,2.617228001940884730e-05,1.543185625679692530e+00,2.889896247585691648e+18,3.050861486328432640e+18,8.772500948024882916e+01,1.362409045605255291e+07
1.049218370918267640e+00,1.368789406086478588e-01,1.939892646439664791e-05,1.874260711061790374e+00,2.565757074412669952e+18,3.523877406126660608e+18,7.537829609016779386e+01,4.919348291163902730e+06
9.145348994839089807e-01,1.750125618823175078e-01,7.327339403282262065e-05,1.305100110037924033e+00,4.377230409056263168e+18,1.537632166701698304e+18,7.022301297322997016e+01,8.634012449127610773e+06
7.644031439777863035e-01,1.296681907945324286e-01,2.035190053513114087e-05,1.857930005234819326e+00,2.769216599284196352e+18,3.288805131915627008e+18,8.332695938058033391e+01,8.923567729360023513e+06
1.166765719471866802e+00,1.357139951224518304e-01,2.068170386716253997e-05,2.007344117599314970e+00,2.729208801010941440e+18,3.334850736788093440e+18,8.363197699468585711e+01,7.013989297356428578e+06
1.482549922005484522e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
1.362503004795964534e+00,1.379881231993430324e-01,2.201678370823142934e-05,2.180743713482248491e+00,2.876047783777359360e+18,3.143760581582160896e+18,8.829219037587357377e+01,8.076558049211977050e+06
1.241852353795833253e+00,1.405371499441132044e-01,2.227191184674365442e-05,2.233363502101668008e+00,2.891512808862386688e+18,3.126947332763408384e+18,8.881708259589777299e+01,8.023440431179275736e+06
1.314673612700455019e+00,1.365251083785901376e-01,2.029287520966284171e-05,1.896920418222541649e+00,2.728690879356550656e+18,3.316827865771862016e+18,8.511208635494624275e+01,8.295231845998276025e+06
8.590613026491058513e-01,1.911985378943464320e-01,2.243408980793676173e-05,1.519656131092574025e+00,2.470911838429564416e+18,2.956790588006688256e+18,9.011749470781896321e+01,1.636189678763676994e+07
1.403485955062699908e+00,1.360900724348144131e-01,2.213505864514752250e-05,2.189704304239914023e+00,2.893296971637376000e+18,3.125042117193209856e+18,8.883539119301002529e+01,8.009531857085851021e+06
7.603332418266748327e-01,1.976590965617755491e-01,2.514333294863510274e-05,1.568517213315934411e+00,2.770637414794277376e+18,3.239860266402617856e+18,8.928169503235788795e+01,1.141336689902634732e+07
1.232944612590553879e+00,1.238612645651681332e-01,2.184162143191128013e-05,2.090473867530171947e+00,2.901545298796868608e+18,3.116137788363539456e+18,8.899456867089433842e+01,8.050531326681859791e+06
8.788423325263844399e-01,1.739382218890084542e-01,4.969091180996158027e-05,1.353377058640942820e+00,5.252627107731533824e+18,1.720272038747211264e+18,4.717583621687583673e+01,1.016419745129831322e+07
1.716726487441902904e+01,1.654893840783484111e+37,1.920428580051297406e-44,2.492792948072379883e+12,2.077756051367326808e+67,4.351548341606972415e-31,8.189609004071065885e+51,2.616370877047411499e-04
1.809374597288078235e+02,5.675431223953555362e-42,3.062729239608584136e+27,1.711568445370411825e+30,9.009661757879806709e-09,9.999955560978437659e+44,5.414407632946344783e-24,3.360708298113525427e+25
6.151181365212099461e-01,1.208105729706923509e-01,2.104657145244049398e-05,2.224285668687556061e+00,2.661617151802945024e+18,3.396220170368113664e+18,7.382297454021760075e+01,2.866940111896567978e+06
5.371315469780038043e-01,1.399916594804266334e-01,2.223459580969228093e-05,2.252538648395593146e+00,2.871946256148500992e+18,3.148251194883584000e+18,8.817437055815112501e+01,8.053029917896991596e+06
1.433746099792094553e+00,1.367039740000000059e-01,2.203348929999999638e-05,2.154327830000000166e+00,2.896842260000006656e+18,3.121194819999997440e+18,8.896987599999999929e+01,8.027625430000000633e+06
1.298533298058485164e+00,1.427231409344553448e-01,2.055069196088698757e-05,1.939070435873035736e+00,2.750498885529940992e+18,3.270469296112617472e+18,8.240437188766233589e+01,8.125340710850891657e+06
1.297623582281670629e+00,1.405373339378392095e-01,2.211040245390662637e-05,2.207404407102147026e+00,2.875084614440739840e+18,3.144814346659338240e+18,8.823240374040236134e+01,8.031037157994960435e+06
7.873206593034680623e-01,1.196153394001388121e-01,2.008882556275018238e-05,2.002940666046763241e+00,2.615174892994760192e+18,3.392598885914613760e+18,8.698208912342606425e+01,6.208813068522164598e+06
5.717536634187357549e+02,3.492632695286616240e+00,1.178233741176914055e-07,2.518404039064705002e-01,6.023968210413522780e+20,1.500863474112523800e+16,1.873498467525922024e+04,9.670335909208415542e+05
1.269885137140512654e+00,1.308651897154596844e-01,2.210481818232639799e-05,2.178310814072204060e+00,2.894937114202359296e+18,3.121355247369319936e+18,8.892061884241570624e+01,7.937060102370692417e+06
1.339226505054226246e+00,1.489163324298843905e-01,2.718396981219068520e-05,1.808890962270177205e+00,2.994343702691356160e+18,3.024442088948014592e+18,9.384295790953737537e+01,9.447202996650189161e+06
8.770209471086651831e-01,1.281435005736488997e-01,1.905155050784513812e-05,1.790768200667924859e+00,2.554721426183399424e+18,3.538788260596921856e+18,7.402519913679790875e+01,5.208937920028813183e+06
9.135566692513813480e-01,1.702096081836514396e-01,2.057444367759030302e-05,1.883565025792681036e+00,2.795572304608599552e+18,3.192956878669924864e+18,7.982224105157996519e+01,1.077713331462582573e+07
4.086989963326994939e+02,1.518171491399903927e-01,8.288188209213405939e-08,4.183504464424081526e-02,5.650807260899453174e+20,1.600105278634258400e+16,1.860558784959156401e+04,2.205247095873627346e+06
