lamb, beta, k, delta, p, c, K
-8.575486863872148202e-01,-3.713557840110681241e+00,1.092459893129922310e+00,2.351332380946414613e+00,1.956151596824418082e-01,2.827906142769411879e-01,3.123092429211520124e+06
-8.879518713003815567e-01,-3.632341139634492677e+00,1.647813794291938416e+00,2.838552694840966062e+00,5.512417712261676872e-01,2.640941978206256535e-01,3.123092429211520124e+06
-8.899985146955832205e-01,-3.883594759827155851e+00,1.912514073307947982e+00,2.826430542123263834e+00,7.920422242725895234e-01,1.540383474080174175e-01,3.123092429211520124e+06
-1.047980979515104272e+00,-3.889973285714867668e+00,2.279844047872455981e+00,2.954872224366689615e+00,8.358120052553967838e-01,2.228237073501863619e-01,3.123092429211520124e+06
-1.000241282106508978e+00,-3.690160813438921661e+00,2.127228324407989479e+00,2.974286592619352909e+00,6.084949942295818648e-01,8.308335639194271149e-02,3.123092429211520124e+06
-1.024596971168221682e+00,-3.737321603832779005e+00,2.239983276847226534e+00,3.006224902386636533e+00,6.802076663058098660e-01,1.061901418249740492e-01,3.123092429211520124e+06
-8.305489123015353803e-01,-4.176683631656252338e+00,1.320468653652732582e+00,2.581295538241177301e+00,8.834292562546111061e-01,1.673461997313022143e-01,3.123092429211520124e+06
-1.022739311044099209e+00,-4.324956897481132323e+00,1.591900982839140166e+00,3.380848377828547413e+00,1.775685569258337315e+00,3.142609357752598198e-01,3.123092429211520124e+06
-1.275169065213161090e+00,-4.434390337563806739e+00,1.446497526156225621e+00,3.503192997124863872e+00,2.030515304910747609e+00,4.033220945845321648e-01,3.123092429211520124e+06
-1.191222748642813078e+00,-4.632368542621033924e+00,1.297564682539946057e+00,3.087887959056851983e+00,1.858427025851668635e+00,3.646695691383264881e-01,3.123092429211520124e+06
-9.515468924111025739e-01,-5.053440301780325328e+00,7.396949201688942654e-01,2.638521546061902701e+00,2.061660367900539192e+00,5.160139210287298939e-01,3.123092429211520124e+06
-9.889615803270235261e-01,-4.619010235950882226e+00,9.373363450901720517e-01,2.623570983053234773e+00,1.492663664950438118e+00,3.876440798247436925e-01,3.123092429211520124e+06
-7.066207012216519923e-01,-4.643827903919626188e+00,1.151034466763757980e+00,2.034937550000539552e+00,9.689416436333913030e-01,2.929339058849205757e-01,3.123092429211520124e+06
-6.636039219027376479e-01,-4.129793151407703533e+00,1.353833212872661784e+00,2.231794516515735793e+00,5.596170262294404285e-01,1.053462752631625227e-01,3.123092429211520124e+06
-7.833291319886425130e-01,-4.341072160838402638e+00,1.228769347041912097e+00,2.565891313993970080e+00,1.040238610658511531e+00,5.070272687625176911e-02,3.123092429211520124e+06
-1.106716260582849554e+00,-4.435433136794010522e+00,1.937826784111086553e+00,2.736994231622975615e+00,1.219877821287422170e+00,6.599371871122039490e-02,3.123092429211520124e+06
-1.434086291577540084e+00,-4.278498450900371175e+00,1.552322259553184036e+00,2.333845508060728768e+00,5.976560965013700821e-01,1.144714962043127948e-01,3.123092429211520124e+06
-1.081005825960794642e+00,-4.461686900548300194e+00,1.859854860918301878e+00,1.772070874411289632e+00,3.233850713692231760e-01,1.188337007120566780e-01,3.123092429211520124e+06
-1.298394909976082090e+00,-4.781108260376677244e+00,1.835835521837873685e+00,1.678717732104602067e+00,5.530437456586273504e-01,1.597390523153895681e-01,3.123092429211520124e+06
-1.320595028059893261e+00,-4.996755952036216364e+00,1.938462773643697679e+00,1.676651466385118638e+00,7.376068646504274628e-01,1.273885468449810210e-01,3.123092429211520124e+06
-7.052541065682149668e-01,-4.570931795952154708e+00,1.059683864791109986e+00,1.244850898990641941e+00,2.023069205120925362e-02,-5.980124623071042533e-04,3.123092429211520124e+06
-5.989458561641818335e-01,-4.216203851537289715e+00,8.802077058010193689e-01,2.650371071403617051e+00,1.138219142892192171e+00,1.056373959480717550e-01,3.123092429211520124e+06
-3.864062513143480260e-01,-4.624102279387559022e+00,9.849569846891466085e-01,2.627421064122382521e+00,1.652870454273781764e+00,2.425308344718257181e-01,3.123092429211520124e+06
-3.864062513143480260e-01,-4.624102279387559022e+00,9.849569846891466085e-01,2.627421064122382521e+00,1.652870454273781764e+00,2.425308344718257181e-01,3.123092429211520124e+06
-3.864062513143480260e-01,-4.624102279387559022e+00,9.849569846891466085e-01,2.627421064122382521e+00,1.652870454273781764e+00,2.425308344718257181e-01,3.123092429211520124e+06
-3.864062513143480260e-01,-4.624102279387559022e+00,9.849569846891466085e-01,2.627421064122382521e+00,1.652870454273781764e+00,2.425308344718257181e-01,3.123092429211520124e+06
-3.864062513143480260e-01,-4.624102279387559022e+00,9.849569846891466085e-01,2.627421064122382521e+00,1.652870454273781764e+00,2.425308344718257181e-01,3.123092429211520124e+06
-3.864062513143480260e-01,-4.624102279387559022e+00,9.849569846891466085e-01,2.627421064122382521e+00,1.652870454273781764e+00,2.425308344718257181e-01,3.123092429211520124e+06
-3.864062513143480260e-01,-4.624102279387559022e+00,9.849569846891466085e-01,2.627421064122382521e+00,1.652870454273781764e+00,2.425308344718257181e-01,3.123092429211520124e+06
-3.864062513143480260e-01,-4.624102279387559022e+00,9.849569846891466085e-01,2.627421064122382521e+00,1.652870454273781764e+00,2.425308344718257181e-01,3.123092429211520124e+06
-3.864062513143480260e-01,-4.624102279387559022e+00,9.849569846891466085e-01,2.627421064122382521e+00,1.652870454273781764e+00,2.425308344718257181e-01,3.123092429211520124e+06
-5.161210677653113033e-01,-4.865076381881438650e+00,1.134669176069650787e+00,1.959980367463480810e+00,1.218021716685276923e+00,1.193263677058113703e-01,3.123092429211520124e+06
-5.787254401780382862e-01,-4.810218442251405158e+00,1.189243047538997899e+00,1.802671144830278571e+00,9.709563379491300550e-01,1.496787839331312209e-01,3.123092429211520124e+06
1.782854348560498625e-01,-3.429238690989414806e+00,2.403585421968756020e+00,4.144827300561221506e+00,1.810144698085340842e+00,-2.392985428166132245e-01,3.123092429211520124e+06
2.862198666913498002e-01,-3.476238254675372730e+00,2.444924836752920605e+00,4.161124166671485547e+00,1.861498279668585276e+00,-2.756504258356440307e-01,3.123092429211520124e+06
-2.369596157455213792e-01,-3.305372138682596717e+00,2.265531397937210922e+00,3.880583039704791570e+00,1.347522488430580978e+00,-2.086478303702583581e-01,3.123092429211520124e+06
1.191708193309646280e-01,-3.222525687472678868e+00,2.332784628498791868e+00,4.127654217048427832e+00,1.572833737806586640e+00,-2.233268848004908713e-01,3.123092429211520124e+06
-3.487967062771590854e-01,-3.143354941092356913e+00,2.422183224765724674e+00,3.933810740741342293e+00,1.211663202307572629e+00,-1.932210687714259745e-01,3.123092429211520124e+06
-3.487967062771590854e-01,-3.143354941092356913e+00,2.422183224765724674e+00,3.933810740741342293e+00,1.211663202307572629e+00,-1.932210687714259745e-01,3.123092429211520124e+06
-8.019676680063807517e-01,-3.710021202141214225e+00,2.628467031711242186e+00,4.216431903397601211e+00,1.848411218909788545e+00,-1.327273320956734171e-01,3.123092429211520124e+06
-9.844050081714184053e-01,-3.505634568027367504e+00,2.504664605035233471e+00,3.680260849023508030e+00,1.156155244456474884e+00,-2.691760162449541860e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-7.882372454440513820e-01,-3.057453060670630052e+00,2.594530628798976224e+00,4.585805021539634652e+00,1.487173096788867444e+00,-6.129167182052523977e-01,3.123092429211520124e+06
-8.837931529220034443e-01,-3.286054090558994112e+00,2.472798155169844581e+00,3.954325050890473925e+00,1.150163673342877058e+00,-3.636844905620006951e-01,3.123092429211520124e+06
-8.837931529220034443e-01,-3.286054090558994112e+00,2.472798155169844581e+00,3.954325050890473925e+00,1.150163673342877058e+00,-3.636844905620006951e-01,3.123092429211520124e+06
-8.837931529220034443e-01,-3.286054090558994112e+00,2.472798155169844581e+00,3.954325050890473925e+00,1.150163673342877058e+00,-3.636844905620006951e-01,3.123092429211520124e+06
-6.452755766059565801e-01,-3.096960344286732614e+00,2.238644625979946401e+00,3.101828221570146038e+00,5.782062771121112554e-01,5.210007150873821602e-02,3.123092429211520124e+06
-6.207211985480937111e-01,-3.165310086002916190e+00,2.133503820577915544e+00,3.122997722961220912e+00,7.212744001957920315e-01,-8.505140235635422208e-02,3.123092429211520124e+06
-6.207211985480937111e-01,-3.165310086002916190e+00,2.133503820577915544e+00,3.122997722961220912e+00,7.212744001957920315e-01,-8.505140235635422208e-02,3.123092429211520124e+06
-6.207211985480937111e-01,-3.165310086002916190e+00,2.133503820577915544e+00,3.122997722961220912e+00,7.212744001957920315e-01,-8.505140235635422208e-02,3.123092429211520124e+06
-6.207211985480937111e-01,-3.165310086002916190e+00,2.133503820577915544e+00,3.122997722961220912e+00,7.212744001957920315e-01,-8.505140235635422208e-02,3.123092429211520124e+06
-6.207211985480937111e-01,-3.165310086002916190e+00,2.133503820577915544e+00,3.122997722961220912e+00,7.212744001957920315e-01,-8.505140235635422208e-02,3.123092429211520124e+06
-6.207211985480937111e-01,-3.165310086002916190e+00,2.133503820577915544e+00,3.122997722961220912e+00,7.212744001957920315e-01,-8.505140235635422208e-02,3.123092429211520124e+06
