lamb, beta, k, delta, p, c, K
-7.902025386108824101e-02,-4.911358896930125617e+00,2.891107029447189003e+00,2.509408112534492474e+00,9.258032932813625715e-01,-5.438246379976016120e-01,5.972735535321577452e+06
5.930883540688338673e-01,-4.325484416942467547e+00,2.635675849370558321e+00,2.706186895448676744e+00,7.047416119900342668e-01,-3.814567669609152389e-01,5.972735535321577452e+06
4.097309709965505364e-01,-4.441302891053926949e+00,2.903663306612131123e+00,2.475508945385388238e+00,5.749430318850285992e-01,-4.857986918729419457e-01,5.972735535321577452e+06
4.255632416850122501e-01,-4.429717823027876200e+00,2.922293417623168743e+00,2.466125587322203216e+00,5.577878145185755088e-01,-4.861886598959257455e-01,5.972735535321577452e+06
4.103610638096524821e-01,-4.438356455355582320e+00,2.893649073553703488e+00,2.459853569726143441e+00,5.629844078455821244e-01,-4.653198148458698169e-01,5.972735535321577452e+06
3.828090545942205436e-01,-4.505620929720818069e+00,2.723314773918346532e+00,2.469067905817853958e+00,6.285334513540346002e-01,-4.283442089362416993e-01,5.972735535321577452e+06
3.831611350138878214e-01,-4.504452809709346361e+00,2.723084733737352714e+00,2.469108204378146265e+00,6.275259479738255486e-01,-4.276604555737350544e-01,5.972735535321577452e+06
5.207314745957489777e-01,-4.858828579815082982e+00,2.528932314546769256e+00,2.608796690738398816e+00,1.050555984850758628e+00,-4.568293114382261377e-01,5.972735535321577452e+06
7.322970644529576134e-01,-4.835347325813837749e+00,2.513522546561994364e+00,2.710893149030574989e+00,1.130146470292128225e+00,-4.930941518807702151e-01,5.972735535321577452e+06
-2.357709393903999473e-01,-5.417516369573760038e+00,2.920522701466444992e+00,2.027045576234703717e+00,9.613874674452363989e-01,-8.318014112536531446e-01,5.972735535321577452e+06
-2.136882814705889366e-01,-5.386541739139168783e+00,2.911366245299130462e+00,2.011860765316315636e+00,9.173498785260671973e-01,-8.319249533999798496e-01,5.972735535321577452e+06
-3.218613876010352759e-01,-5.416401225334469771e+00,2.986564275922072298e+00,2.079194610520627595e+00,9.929364820941611880e-01,-8.936428705822303531e-01,5.972735535321577452e+06
-5.121942628033930855e-01,-5.013744524911246003e+00,2.795798086987766773e+00,2.452804335963866933e+00,9.611701995129333653e-01,-7.449219576435210932e-01,5.972735535321577452e+06
-3.857647661582870313e-01,-4.950333065089152385e+00,2.808200995936914968e+00,2.320911584718233112e+00,7.862293370601638465e-01,-7.323221826455417194e-01,5.972735535321577452e+06
-3.799013763547222644e-01,-5.059439527680309467e+00,2.909852650955064846e+00,2.640497235799504683e+00,1.086845987719642359e+00,-1.175067914916512857e+00,5.972735535321577452e+06
-2.348067255692759536e-01,-5.223955106089276157e+00,2.936306208330949907e+00,2.679409445427754388e+00,1.236824607644664953e+00,-1.382367723001213022e+00,5.972735535321577452e+06
-2.387350016770199979e-01,-5.220267224672851647e+00,2.930816647464075331e+00,2.677876560317916432e+00,1.232746521381552496e+00,-1.378552058036051076e+00,5.972735535321577452e+06
-6.369708693800419930e-01,-5.264659635593593734e+00,2.906742285568325812e+00,2.258966141678628414e+00,1.005073383616620797e+00,-9.049818349485984070e-01,5.972735535321577452e+06
-1.045381823725469284e+00,-5.235117227786485472e+00,2.711794432717202774e+00,2.298397839552276611e+00,1.012411532485945509e+00,-8.469450661058993690e-01,5.972735535321577452e+06
