lamb, beta, k, delta, p, c, K
9.085705733061637535e-01,-4.154130542867487286e+00,2.709391608561025233e+00,2.720635950779605849e+00,3.855945091919086298e-01,-7.377430749778318697e-01,5.972735535321577452e+06
6.369214328194090502e-01,-4.263577697807725997e+00,2.437418391547923946e+00,2.743510673852913140e+00,5.468693553658997564e-01,-6.318791124876637078e-01,5.972735535321577452e+06
7.721793343414815602e-01,-4.025711633201321860e+00,2.616860115445010848e+00,2.806272309324580050e+00,3.878279427794221190e-01,-6.693454858938335805e-01,5.972735535321577452e+06
8.213743254393315318e-01,-4.022524229830099607e+00,2.637061456126284398e+00,2.797111286395269403e+00,4.124953442709253792e-01,-6.382753481523376626e-01,5.972735535321577452e+06
4.337121950538092574e-01,-4.249113484090719872e+00,2.988517146532030822e+00,2.850671781153416795e+00,6.325075887288692522e-01,-5.881414675018734606e-01,5.972735535321577452e+06
4.337121950538092574e-01,-4.249113484090719872e+00,2.988517146532030822e+00,2.850671781153416795e+00,6.325075887288692522e-01,-5.881414675018734606e-01,5.972735535321577452e+06
4.980432930662415103e-03,-4.442290419844041161e+00,2.948203104459440560e+00,2.629079951031858542e+00,6.487349110214720715e-01,-5.156007748073314634e-01,5.972735535321577452e+06
7.116955133665281430e-01,-4.196721161147607404e+00,2.971305102911434570e+00,2.656881274176854824e+00,4.744798328252319841e-01,-5.656675781510953627e-01,5.972735535321577452e+06
7.479014559702563680e-01,-4.190955453147955367e+00,2.774309931668275109e+00,2.705808621724147489e+00,5.813306557736647173e-01,-4.466849236429170089e-01,5.972735535321577452e+06
7.162209776609398393e-01,-4.202097633327353421e+00,2.805056893531802320e+00,2.759413829537024299e+00,5.427155463416988290e-01,-4.904216078733716899e-01,5.972735535321577452e+06
9.151765664073758799e-01,-4.129019104978862487e+00,2.922349782398259599e+00,2.895506711208118311e+00,5.638551022594704420e-01,-5.734967784145879044e-01,5.972735535321577452e+06
8.908467019335519765e-01,-4.135681070397143166e+00,2.828965695194112229e+00,2.628554344599079329e+00,3.293490412389465938e-01,-5.704702056304628011e-01,5.972735535321577452e+06
6.022867169396637355e-01,-4.142261572317663898e+00,2.792502914687947424e+00,2.655300305163025509e+00,3.608124427714727855e-01,-5.646425938892345453e-01,5.972735535321577452e+06
7.123536729850690197e-01,-3.991629317472418670e+00,2.876928990204376646e+00,2.569426278910419637e+00,1.803290463157842805e-01,-4.667856818066430380e-01,5.972735535321577452e+06
6.098492785151047313e-01,-4.123467495562578300e+00,2.879763754844113954e+00,2.379944179354690714e+00,1.215093010503365267e-01,-3.312898257387393297e-01,5.972735535321577452e+06
