lamb, beta, k, delta, p, c, K
-1.581726485996582499e+00,-5.047655745058463594e+00,1.854994020254115750e+00,1.802807618167934667e+00,6.109058045617875576e-01,-7.299745451429712206e-02,4.767840060099503025e+06
-1.526022881300679757e+00,-5.001843385204256975e+00,1.791176386846047075e+00,1.811444672674150658e+00,5.872511291277582313e-01,-1.425033122213689718e-03,4.767840060099503025e+06
-1.667891622629690929e+00,-4.892807736919602135e+00,1.639102978102794594e+00,1.928098050946529529e+00,4.945198482750772229e-01,-3.452508832467138244e-02,4.767840060099503025e+06
-1.528836998573287254e+00,-4.619008826464357398e+00,1.793698238148500712e+00,2.289081992471388549e+00,6.275186358548358045e-01,8.542147565091461059e-02,4.767840060099503025e+06
-1.043245320338815008e+00,-4.514512726097288819e+00,2.347984277133707387e+00,1.991976172000463841e+00,2.315193572342121309e-01,1.287047473179072088e-01,4.767840060099503025e+06
-1.124666359631928403e+00,-5.173265193173271825e+00,2.406278731320553366e+00,1.528526175241935237e+00,5.447185166701061787e-01,2.435478407498486431e-01,4.767840060099503025e+06
-1.074131017535915333e+00,-5.364872796816148259e+00,2.453954084246457779e+00,1.782859881718291239e+00,9.070882082076358044e-01,1.792913011766477382e-01,4.767840060099503025e+06
-1.225720778494829188e+00,-5.533146840908642616e+00,2.275810840640091204e+00,1.506606774764391643e+00,8.922745713626715203e-01,1.966371798738126841e-01,4.767840060099503025e+06
-1.427568904275944295e+00,-5.613834427054825937e+00,2.635448050921733731e+00,1.598019068672472454e+00,9.848714046885435058e-01,8.974083501143814701e-02,4.767840060099503025e+06
-1.532646248849327320e+00,-5.629854192651918332e+00,2.585178560640787992e+00,1.686319998418537969e+00,1.137551292549696669e+00,1.986877895364448920e-01,4.767840060099503025e+06
-1.460757008277116409e+00,-5.559989752140817032e+00,2.213466998900726068e+00,1.737636929497089922e+00,1.056419479970934772e+00,1.043653062845185525e-01,4.767840060099503025e+06
-1.306840213047853361e+00,-5.492515525883536753e+00,2.299018385023142041e+00,1.700909778313115517e+00,9.684814114595260426e-01,9.868632255406771525e-02,4.767840060099503025e+06
-1.847523489735622526e+00,-5.600586346986617947e+00,2.707788551609747962e+00,1.528427999431204665e+00,8.924332367686460543e-01,1.213826701832023125e-01,4.767840060099503025e+06
-1.536765262407226995e+00,-5.285089282067568561e+00,2.588229701405012850e+00,1.649286448465833388e+00,6.288986102056991490e-01,1.029239079724614259e-02,4.767840060099503025e+06
-1.698349114885242095e+00,-5.286859238720824195e+00,2.721842469317595992e+00,1.538182853001521355e+00,6.288786562529973256e-01,1.983614315622433677e-01,4.767840060099503025e+06
-1.193563589814524928e+00,-5.141677853487932381e+00,2.638042564702237414e+00,1.601512669131433864e+00,5.113953564579457600e-01,1.032873101249495718e-01,4.767840060099503025e+06
-1.742371908034089811e+00,-5.220111572869051919e+00,2.120794344794182607e+00,1.591313353750277937e+00,6.278217179987553020e-01,1.624550700708043416e-01,4.767840060099503025e+06
-2.478071297537749462e+00,-5.495757035103312482e+00,5.710892150923647659e-01,2.678858880927836417e+00,2.168093207141613910e+00,4.283833124837925221e-01,4.767840060099503025e+06
-1.094018325330126551e+00,-4.995575880250242129e+00,4.297463932240659368e-01,2.620008732104902371e+00,1.508003347967333596e+00,1.542895369843171327e-01,4.767840060099503025e+06
-1.192247115639764932e+00,-5.088618657979814941e+00,5.764408000953881173e-01,2.393877709494550032e+00,1.376316006576966400e+00,1.696679474857090697e-01,4.767840060099503025e+06
-1.223313386975334982e+00,-5.172622899140091768e+00,5.406993938448660941e-01,2.324227458263782076e+00,1.374557040315966150e+00,1.257549005848726809e-01,4.767840060099503025e+06
-1.367666211778748142e+00,-5.247521641372320467e+00,4.856596658027043656e-01,2.204522271009356604e+00,1.326390126236465905e+00,1.201457438621967855e-01,4.767840060099503025e+06
-1.533205284679875824e+00,-5.286613579223971016e+00,6.151137646047082352e-01,2.173938896467864534e+00,1.323711948002227023e+00,1.166786223305488479e-01,4.767840060099503025e+06
-1.561777991894774509e+00,-5.071636964851046869e+00,1.081494724060051427e+00,2.263938548273138007e+00,1.144449475044618580e+00,1.766733304784399994e-02,4.767840060099503025e+06
-8.651158357394661547e-01,-4.539767571624316211e+00,3.010489479683087222e-01,2.562033838772367567e+00,1.011652314163430377e+00,8.939524343237192916e-04,4.767840060099503025e+06
-9.602180492736533957e-01,-4.761250754127596352e+00,6.219531344411435292e-01,2.299563740413606006e+00,9.316635104207141582e-01,2.578783324659100762e-02,4.767840060099503025e+06
-9.454164734565693173e-01,-4.827619571584344627e+00,1.128759372673622252e-01,2.091255275530484514e+00,9.581960412984935616e-01,1.661344708585472674e-01,4.767840060099503025e+06
-9.454164734565693173e-01,-4.827619571584344627e+00,1.128759372673622252e-01,2.091255275530484514e+00,9.581960412984935616e-01,1.661344708585472674e-01,4.767840060099503025e+06
-9.454164734565693173e-01,-4.827619571584344627e+00,1.128759372673622252e-01,2.091255275530484514e+00,9.581960412984935616e-01,1.661344708585472674e-01,4.767840060099503025e+06
