lamb, beta, k, delta, p, c, K
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
-3.283980927765634661e+00,-6.206428666553238216e+00,2.347834969358645552e+00,2.160222360597477742e+00,2.481716561629452755e+00,6.694767705748985165e-01,4.767840060099503025e+06
