lamb, beta, k, delta, p, c, K
7.243271488098174116e-01,-4.983787553861795061e+00,-7.545451130305627085e-01,-2.820860645161001323e-01,-1.344820583697216021e+00,-2.927677640113188318e+00,4.502249959989419207e+06
7.630098534603978466e-01,-4.612343913571881338e+00,-1.412860352441634437e-01,1.073661110260386131e+00,-1.131254735540264234e+00,-2.778985265027549278e+00,4.502249959989419207e+06
5.346191038887304625e-01,-4.647443680287617340e+00,-1.694211825207214694e-02,1.680872813283625700e+00,-8.664689172548056817e-01,-2.669560261992599770e+00,4.502249959989419207e+06
-1.427589121869073663e-01,-4.921985061098911096e+00,-1.338092984214409586e+00,2.797659319042621995e+00,5.922640173936354335e-01,-2.313133880866912850e+00,4.502249959989419207e+06
-1.223911819127167511e-01,-4.960472103971024005e+00,-1.671109118050370768e+00,2.976863265096398870e+00,7.311149401007681625e-01,-2.742929031375496152e+00,4.502249959989419207e+06
-1.165267936937730009e-01,-4.953039308368506255e+00,-1.681472769752527130e+00,2.962796504137357623e+00,7.301226611860992532e-01,-2.711388214578510869e+00,4.502249959989419207e+06
-1.490983015910762877e-01,-4.965887212902680758e+00,-1.622619148927200605e+00,2.992065932172953691e+00,7.372939491695819081e-01,-2.702294995706235881e+00,4.502249959989419207e+06
-1.490983015910762877e-01,-4.965887212902680758e+00,-1.622619148927200605e+00,2.992065932172953691e+00,7.372939491695819081e-01,-2.702294995706235881e+00,4.502249959989419207e+06
-7.290906712816568325e-01,-4.992465348477165499e+00,-1.401775652732864419e+00,2.807932293098349241e+00,5.653728290802225720e-01,-2.769691565378132658e+00,4.502249959989419207e+06
-8.403027279657824256e-01,-4.988757114670129944e+00,-1.305855558271231232e+00,2.896939748970615902e+00,5.541873163052926099e-01,-2.942120193384655913e+00,4.502249959989419207e+06
-6.426277681566407995e-01,-4.896122324193727060e+00,-1.407487664671385863e+00,2.850520064076044413e+00,6.013757439117805026e-01,-2.850140569029123938e+00,4.502249959989419207e+06
-7.909078859615519264e-01,-4.365396108824779020e+00,-1.830196649204471449e+00,2.860880078705145380e+00,6.413206348367811449e-01,-1.967989137901806185e+00,4.502249959989419207e+06
-1.356987357689444451e+00,-4.105165871106086328e+00,-2.428074608595373274e+00,2.983441172593797930e+00,6.305722527912864805e-01,-2.393646514168807027e+00,4.502249959989419207e+06
