lamb, beta, k, delta, p, c, K
-1.419350996785481822e+00,-4.801315249960006248e+00,1.972410978545062754e-01,1.760316603822564829e+01,1.721356019174591268e+01,1.615288040258533231e+00,4.502249959989419207e+06
-1.419350996785481822e+00,-4.801315249960006248e+00,1.972410978545062754e-01,1.760316603822564829e+01,1.721356019174591268e+01,1.615288040258533231e+00,4.502249959989419207e+06
-1.816994480252479116e+00,-4.692478296593284526e+00,-2.863418150602521639e-02,1.747868704101078308e+01,1.700719335069581106e+01,1.859965838368360824e+00,4.502249959989419207e+06
-1.840306970181449842e+00,-4.689891945802170170e+00,-5.253060690524535836e-02,1.748240885789624599e+01,1.699484468159096551e+01,1.876696659831166514e+00,4.502249959989419207e+06
-1.840306970181449842e+00,-4.689891945802170170e+00,-5.253060690524535836e-02,1.748240885789624599e+01,1.699484468159096551e+01,1.876696659831166514e+00,4.502249959989419207e+06
-1.583738277824458418e+00,-4.532890255085563425e+00,8.393698729921195145e-01,1.691952177438356486e+01,1.661516824276795035e+01,1.907995139766330395e+00,4.502249959989419207e+06
-1.610970892146252220e+00,-4.466462094451046028e+00,8.553851893506393411e-01,1.694363176346815081e+01,1.657748264962533824e+01,1.789847723375646904e+00,4.502249959989419207e+06
-1.610970892146252220e+00,-4.466462094451046028e+00,8.553851893506393411e-01,1.694363176346815081e+01,1.657748264962533824e+01,1.789847723375646904e+00,4.502249959989419207e+06
-1.610970892146252220e+00,-4.466462094451046028e+00,8.553851893506393411e-01,1.694363176346815081e+01,1.657748264962533824e+01,1.789847723375646904e+00,4.502249959989419207e+06
-1.610970892146252220e+00,-4.466462094451046028e+00,8.553851893506393411e-01,1.694363176346815081e+01,1.657748264962533824e+01,1.789847723375646904e+00,4.502249959989419207e+06
-1.610970892146252220e+00,-4.466462094451046028e+00,8.553851893506393411e-01,1.694363176346815081e+01,1.657748264962533824e+01,1.789847723375646904e+00,4.502249959989419207e+06
-1.610970892146252220e+00,-4.466462094451046028e+00,8.553851893506393411e-01,1.694363176346815081e+01,1.657748264962533824e+01,1.789847723375646904e+00,4.502249959989419207e+06
-1.610970892146252220e+00,-4.466462094451046028e+00,8.553851893506393411e-01,1.694363176346815081e+01,1.657748264962533824e+01,1.789847723375646904e+00,4.502249959989419207e+06
