lamb, beta, k, delta, p, c, K
-9.348346103268864171e-01,-4.818761663855990918e+00,3.916134222974147150e+00,1.471721334834453776e+00,5.177393773884892969e-01,7.380473460341165914e-01,4.502249959989419207e+06
-1.243136231770263223e+00,-4.753536081299847282e+00,3.425383224481199029e+00,1.699870111899929981e+00,6.833648255004984851e-01,7.695009193811100934e-01,4.502249959989419207e+06
-1.190830575533847080e+00,-4.773207370774318115e+00,3.415807312053003919e+00,1.738209331911375166e+00,7.282960956232381600e-01,7.464419499140009240e-01,4.502249959989419207e+06
-1.062742904381308584e+00,-4.969601615171755249e+00,3.760760974424417036e+00,1.482391933980766074e+00,5.563714163404660518e-01,5.337075292977934149e-01,4.502249959989419207e+06
-1.070176683361621084e+00,-5.071531189395175332e+00,3.719067786881413262e+00,1.318782714021415003e+00,5.991075112591737195e-01,6.436132044083753279e-01,4.502249959989419207e+06
-1.075649634043483793e+00,-5.046746363023697057e+00,3.591177057493068592e+00,1.245246163788874094e+00,5.728533181911774630e-01,7.286046157814384250e-01,4.502249959989419207e+06
-1.020267222459376733e+00,-5.191605285424710559e+00,3.724402860548945426e+00,9.980943653567497797e-01,4.433599484715934347e-01,6.634643935760515809e-01,4.502249959989419207e+06
-1.044781133954647334e+00,-5.238286820937835486e+00,3.940836887880862172e+00,1.093089492656241557e+00,5.731082526755422180e-01,6.860522007308036407e-01,4.502249959989419207e+06
-1.049243552147821612e+00,-5.157491518849627532e+00,3.929756382648913693e+00,1.004153581688716823e+00,5.120163516367521872e-01,8.104340951378135038e-01,4.502249959989419207e+06
-1.086056362311384582e+00,-5.169380284312969032e+00,3.960588826776008098e+00,1.010002650370167565e+00,5.056611470962704136e-01,7.851678049674061244e-01,4.502249959989419207e+06
-9.593662397336499836e-01,-5.101050219350823589e+00,3.608739828277548689e+00,1.029954878810582786e+00,3.750903169034185414e-01,6.143068907541939794e-01,4.502249959989419207e+06
-9.830339889664330144e-01,-4.687236289570661185e+00,3.437142288316273664e+00,1.512301655835475156e+00,3.057377720599884774e-01,4.877532881903018369e-01,4.502249959989419207e+06
-9.320290683515639607e-01,-4.747350984469297153e+00,3.352664773744335580e+00,1.570236740530358555e+00,3.803926540218278696e-01,4.387724153499603652e-01,4.502249959989419207e+06
-9.919595372508245301e-01,-4.599773528476316820e+00,3.446881505778260024e+00,1.691573632433807761e+00,4.358312632780034224e-01,5.548396299975012491e-01,4.502249959989419207e+06
