lamb, beta, k, delta, p, c, K
-1.733256558763189847e-01,-5.765806954409055329e+00,2.604169185077314985e+00,1.452487077242824443e+00,1.174143289513995825e+00,5.212273418532653579e-02,5.142701720558476634e+06
1.255124971987976457e-01,-5.737440878585997162e+00,2.588581404070668945e+00,1.786616623661144931e+00,1.324671172407666075e+00,-8.667049572529395007e-03,5.142701720558476634e+06
8.428937147009744058e-01,-4.580366654037755225e+00,9.538444617488002208e-01,2.323128974204355046e+00,9.016388694858117336e-01,6.376895793134945700e-02,5.142701720558476634e+06
3.254302971652396348e-01,-4.698602179330300110e+00,1.066943502431722202e+00,2.236633209616196272e+00,1.116868012754223649e+00,5.805705691077657216e-01,5.142701720558476634e+06
-3.447026229436260802e-01,-5.221547475430210916e+00,1.214058842412424788e+00,1.588911475345165414e+00,8.490918164072807084e-01,4.710213750115173070e-01,5.142701720558476634e+06
-1.007961393075572920e-01,-5.264286514482739321e+00,1.393997219004155186e+00,1.378298174436896284e+00,6.549795935601042673e-01,3.023683501190161937e-01,5.142701720558476634e+06
-3.131519755473649025e-01,-5.660170957858482232e+00,1.786376874522261238e+00,1.079750468515057626e+00,6.412135435999326560e-01,3.048092341951835205e-01,5.142701720558476634e+06
-3.462717890825579570e-01,-5.652718373742083635e+00,2.019810098111567864e+00,1.080651627516863167e+00,6.319336116769092015e-01,3.599163158097671289e-01,5.142701720558476634e+06
-2.297983774732712536e-01,-5.789980582046865720e+00,1.906560386553941999e+00,1.118366569558213452e+00,7.580085012115688192e-01,2.018246875093881454e-01,5.142701720558476634e+06
-1.384769120186431501e-01,-5.771038495259586121e+00,2.221465187108370820e+00,1.140643280424008310e+00,7.729220680861492720e-01,2.698582365621498558e-01,5.142701720558476634e+06
-1.743315241083123468e-01,-5.819808708685005882e+00,2.228921526348305093e+00,1.059840014471526093e+00,7.376762919122803464e-01,2.685614812177326005e-01,5.142701720558476634e+06
1.855516665141976329e-02,-5.598828550006139437e+00,1.970345883089469341e+00,1.340706969127307246e+00,7.721424130471414848e-01,8.493845794231891233e-02,5.142701720558476634e+06
-2.026715940819947548e-01,-5.817775865642273558e+00,1.985399888232023180e+00,1.398994196239477183e+00,9.770971005356772210e-01,1.470295187534718939e-01,5.142701720558476634e+06
4.974752482667385012e-01,-5.164021606113711194e+00,1.887543527224349704e+00,1.605441455360506975e+00,5.496944697341757946e-01,1.753537664443600708e-01,5.142701720558476634e+06
5.393247535830143491e-01,-4.961452818587409830e+00,1.907381400096507473e+00,1.658159864392108496e+00,4.546539974790991812e-01,2.336770483475492377e-01,5.142701720558476634e+06
2.500355643208456158e-01,-5.035120419508361422e+00,1.615563298077419718e+00,1.494868329438988397e+00,4.043119672939513021e-01,1.042264456151377194e-01,5.142701720558476634e+06
-7.840187151032063095e-02,-5.239588075494145514e+00,2.349566246930128166e+00,1.254782226446738758e+00,3.293423461344026637e-01,-5.845193381444857561e-02,5.142701720558476634e+06
-1.475474800221597826e-01,-5.183720760330443156e+00,2.435394481173727144e+00,1.205909014468600660e+00,3.719684064815602653e-01,2.683309467742200916e-01,5.142701720558476634e+06
-1.543323444569890679e-01,-5.136601844844085996e+00,2.505576152064071582e+00,1.163978853200973607e+00,3.178031313042267714e-01,3.687890988547930515e-01,5.142701720558476634e+06
9.601765114369553711e-02,-5.173145750525241837e+00,2.674158496469924540e+00,9.044652144524922832e-01,1.287459680806524176e-01,4.616691637465621945e-01,5.142701720558476634e+06
1.320358356443741277e-01,-5.222980186483210829e+00,2.440167595331834249e+00,1.521873132904759229e+00,6.574863894253309970e-01,1.297625023560030622e-01,5.142701720558476634e+06
1.743700652094692383e-01,-5.395346012543986269e+00,2.391978612515724301e+00,1.513606316134490815e+00,7.525755415657138236e-01,1.004110028373384478e-01,5.142701720558476634e+06
6.255591432095491955e-01,-4.963514206703371734e+00,2.313582144543366859e+00,1.446753422081503482e+00,4.112153608930907422e-01,2.780280939900798831e-01,5.142701720558476634e+06
7.324496234296389297e-01,-5.242627831982978215e+00,2.072310585352219459e+00,1.657143841164194553e+00,7.256408721965028619e-01,1.786940005778871465e-01,5.142701720558476634e+06
6.775382254551904904e-01,-5.321346729063895609e+00,2.122369824339650712e+00,1.611699271483191032e+00,7.263381717237573643e-01,8.293486978974595747e-02,5.142701720558476634e+06
3.934807393236287032e-01,-5.918978306733456485e+00,2.217899915484686346e+00,1.849226107327140989e+00,1.126322205843939939e+00,-6.761103455394114059e-01,5.142701720558476634e+06
1.050600225295758028e-01,-5.430754841733124394e+00,2.473566197422920165e+00,1.556380783598890538e+00,7.461997259238801750e-01,8.118102178777378275e-02,5.142701720558476634e+06
3.357773635261452894e-01,-5.064807147453028513e+00,2.113812306931029728e+00,1.825454388533391370e+00,6.266174226038623285e-01,1.046844833098863753e-02,5.142701720558476634e+06
5.530037144996455822e-01,-5.315190182236303684e+00,2.211169648490078465e+00,1.840737791700649773e+00,7.574566006716803024e-01,-1.351311943568810348e-01,5.142701720558476634e+06
6.706295891858508051e-01,-4.900663879942996459e+00,2.331695362287451889e+00,1.494711682585090795e+00,1.990537173951996142e-01,-4.692048011993904533e-02,5.142701720558476634e+06
7.902597058865630242e-01,-4.433342077562309136e+00,2.419466990849824750e+00,1.524606402028732433e+00,1.263167431952855191e-02,3.383653922776308498e-01,5.142701720558476634e+06
9.825753359920508245e-01,-4.309041539822025868e+00,2.350739024774440189e+00,1.314122525559170418e+00,-1.697434419020884544e-01,6.025573167578045508e-01,5.142701720558476634e+06
1.529308880456627384e-01,-4.412900483567226750e+00,2.429048782633001835e+00,1.780418528480550711e+00,2.060903208591722269e-01,2.522324007667635648e-01,5.142701720558476634e+06
