lamb, beta, k, delta, p, c, K
3.342440245258755487e-03,7.977542759478713224e-07,1.613384337525914987e+02,5.179320496790021267e+00,6.146446908058774738e+01,2.751294538108031773e+01,3.445245763375684619e+05
3.342440245258755487e-03,7.977542759478713224e-07,1.613384337525914987e+02,5.179320496790021267e+00,6.146446908058774738e+01,2.751294538108031773e+01,3.445245763375684619e+05
3.342440245258755487e-03,7.977542759478713224e-07,1.613384337525914987e+02,5.179320496790021267e+00,6.146446908058774738e+01,2.751294538108031773e+01,3.445245763375684619e+05
3.342440245258755487e-03,7.977542759478713224e-07,1.613384337525914987e+02,5.179320496790021267e+00,6.146446908058774738e+01,2.751294538108031773e+01,3.445245763375684619e+05
3.347022786918201886e-03,7.977204258993052352e-07,1.614877072481559139e+02,5.177693909502197656e+00,6.150270572689969839e+01,2.752369066814739895e+01,3.443496799971574801e+05
3.347022786918201886e-03,7.977204258993052352e-07,1.614877072481559139e+02,5.177693909502197656e+00,6.150270572689969839e+01,2.752369066814739895e+01,3.443496799971574801e+05
3.345957191828122495e-03,7.972165965712334358e-07,1.615956928050484009e+02,5.181237093466557475e+00,6.143047127576458877e+01,2.753305597560126117e+01,3.442581601563288132e+05
3.345957191828122495e-03,7.972165965712334358e-07,1.615956928050484009e+02,5.181237093466557475e+00,6.143047127576458877e+01,2.753305597560126117e+01,3.442581601563288132e+05
3.345957191828122495e-03,7.972165965712334358e-07,1.615956928050484009e+02,5.181237093466557475e+00,6.143047127576458877e+01,2.753305597560126117e+01,3.442581601563288132e+05
3.345957191828122495e-03,7.972165965712334358e-07,1.615956928050484009e+02,5.181237093466557475e+00,6.143047127576458877e+01,2.753305597560126117e+01,3.442581601563288132e+05
3.346589483995840875e-03,7.968184370404462523e-07,1.616178203552094317e+02,5.187545001066405703e+00,6.137407317080705837e+01,2.753774447704169148e+01,3.439501790532629238e+05
3.347613636819595905e-03,7.954311655492790689e-07,1.617129637837576865e+02,5.179962158986902487e+00,6.127940793906700634e+01,2.755459313547239120e+01,3.441198952248912537e+05
3.350412345869487659e-03,7.940105186649352372e-07,1.619196889912333290e+02,5.183132925354423826e+00,6.114182542830421596e+01,2.758150617932930260e+01,3.437945820473123458e+05
3.350412345869487659e-03,7.940105186649352372e-07,1.619196889912333290e+02,5.183132925354423826e+00,6.114182542830421596e+01,2.758150617932930260e+01,3.437945820473123458e+05
3.350389141987583641e-03,7.940186705802284795e-07,1.619177234098602582e+02,5.183138468344400174e+00,6.114285137423339478e+01,2.758123372882024071e+01,3.437953303905763896e+05
3.314135972710136567e-03,7.144718600861282046e-07,1.602973037935970524e+02,5.130464629284204214e+00,6.117985370306541881e+01,2.784623131199339952e+01,3.485192950136645231e+05
3.303304931572702621e-03,6.912222585734197093e-07,1.600941092692528116e+02,5.092918832762017622e+00,6.081967862078097653e+01,2.792552630682180848e+01,3.506502782042471808e+05
3.298805808405496330e-03,6.721748642870682324e-07,1.602306534115462853e+02,5.075085070967183754e+00,6.065885875618717904e+01,2.805680039890986777e+01,3.517505859522868996e+05
3.289432711898736695e-03,6.501391547539506689e-07,1.599563792888183684e+02,5.046701500872860180e+00,6.040335041595029253e+01,2.814818971599143893e+01,3.535122491434408003e+05
3.332317358118411666e-03,7.405437292065290392e-07,1.607635615207292403e+02,4.999548682291845125e+00,5.954129066740279796e+01,2.758112609728100750e+01,3.529399536864759866e+05
3.332317358118411666e-03,7.405437292065290392e-07,1.607635615207292403e+02,4.999548682291845125e+00,5.954129066740279796e+01,2.758112609728100750e+01,3.529399536864759866e+05
3.332317358118411666e-03,7.405437292065290392e-07,1.607635615207292403e+02,4.999548682291845125e+00,5.954129066740279796e+01,2.758112609728100750e+01,3.529399536864759866e+05
3.332317358118411666e-03,7.405437292065290392e-07,1.607635615207292403e+02,4.999548682291845125e+00,5.954129066740279796e+01,2.758112609728100750e+01,3.529399536864759866e+05
3.332317358118411666e-03,7.405437292065290392e-07,1.607635615207292403e+02,4.999548682291845125e+00,5.954129066740279796e+01,2.758112609728100750e+01,3.529399536864759866e+05
3.326468338590406974e-03,7.132094197662685430e-07,1.604836856640258702e+02,4.915258781322928705e+00,5.864697711679027492e+01,2.761639832158553887e+01,3.571559146860350738e+05
3.319433469680532420e-03,6.876879675438077215e-07,1.601935497884977337e+02,4.864092384451527806e+00,5.807066217142377695e+01,2.769034676190770128e+01,3.600440252533846651e+05
3.319433469680532420e-03,6.876879675438077215e-07,1.601935497884977337e+02,4.864092384451527806e+00,5.807066217142377695e+01,2.769034676190770128e+01,3.600440252533846651e+05
3.319433469680532420e-03,6.876879675438077215e-07,1.601935497884977337e+02,4.864092384451527806e+00,5.807066217142377695e+01,2.769034676190770128e+01,3.600440252533846651e+05
3.319433469680532420e-03,6.876879675438077215e-07,1.601935497884977337e+02,4.864092384451527806e+00,5.807066217142377695e+01,2.769034676190770128e+01,3.600440252533846651e+05
3.319433469680532420e-03,6.876879675438077215e-07,1.601935497884977337e+02,4.864092384451527806e+00,5.807066217142377695e+01,2.769034676190770128e+01,3.600440252533846651e+05
3.319433469680532420e-03,6.876879675438077215e-07,1.601935497884977337e+02,4.864092384451527806e+00,5.807066217142377695e+01,2.769034676190770128e+01,3.600440252533846651e+05
3.319433469680532420e-03,6.876879675438077215e-07,1.601935497884977337e+02,4.864092384451527806e+00,5.807066217142377695e+01,2.769034676190770128e+01,3.600440252533846651e+05
3.319433469680532420e-03,6.876879675438077215e-07,1.601935497884977337e+02,4.864092384451527806e+00,5.807066217142377695e+01,2.769034676190770128e+01,3.600440252533846651e+05
3.273561638560031160e-03,6.207759506105911680e-07,1.585971795301298357e+02,4.765877684552703109e+00,5.744450802587952865e+01,2.787820954536394424e+01,3.671781752380417311e+05
3.273561638560031160e-03,6.207759506105911680e-07,1.585971795301298357e+02,4.765877684552703109e+00,5.744450802587952865e+01,2.787820954536394424e+01,3.671781752380417311e+05
3.273561638560031160e-03,6.207759506105911680e-07,1.585971795301298357e+02,4.765877684552703109e+00,5.744450802587952865e+01,2.787820954536394424e+01,3.671781752380417311e+05
3.553612545825242473e-03,5.992865338274819295e-07,1.802753209905135350e+02,4.440906594690631870e+00,8.861756476362289447e+01,3.063219308022830134e+01,3.674322918646543403e+05
3.553612545825242473e-03,5.992865338274819295e-07,1.802753209905135350e+02,4.440906594690631870e+00,8.861756476362289447e+01,3.063219308022830134e+01,3.674322918646543403e+05
3.553612545825242473e-03,5.992865338274819295e-07,1.802753209905135350e+02,4.440906594690631870e+00,8.861756476362289447e+01,3.063219308022830134e+01,3.674322918646543403e+05
3.553612545825242473e-03,5.992865338274819295e-07,1.802753209905135350e+02,4.440906594690631870e+00,8.861756476362289447e+01,3.063219308022830134e+01,3.674322918646543403e+05
3.553612545825242473e-03,5.992865338274819295e-07,1.802753209905135350e+02,4.440906594690631870e+00,8.861756476362289447e+01,3.063219308022830134e+01,3.674322918646543403e+05
3.553612545825242473e-03,5.992865338274819295e-07,1.802753209905135350e+02,4.440906594690631870e+00,8.861756476362289447e+01,3.063219308022830134e+01,3.674322918646543403e+05
3.148600480253750493e-03,8.163171783976834251e-07,2.382261044912980310e+02,4.341885436081111216e+00,2.060814186827302592e+02,3.238887233593472104e+01,3.329804142319769599e+05
2.826597181869509607e-03,7.727730936523773120e-07,3.181566365152873459e+02,3.845318435807367763e+00,5.315025911788707162e+02,3.655990268023624168e+01,3.236505166068809340e+05
2.675963109692234849e-03,7.158432122164749806e-07,3.812543235513194304e+02,3.574862952940772498e+00,9.825297084050414469e+02,3.990223190317836099e+01,3.168044468731430825e+05
2.599390002628481234e-03,6.780489431861182226e-07,3.663435648775930531e+02,3.562355140835374634e+00,8.584933364172284200e+02,3.961170339739451407e+01,3.295414552874797955e+05
2.599390002628481234e-03,6.780489431861182226e-07,3.663435648775930531e+02,3.562355140835374634e+00,8.584933364172284200e+02,3.961170339739451407e+01,3.295414552874797955e+05
2.599390002628481234e-03,6.780489431861182226e-07,3.663435648775930531e+02,3.562355140835374634e+00,8.584933364172284200e+02,3.961170339739451407e+01,3.295414552874797955e+05
